price,city,area,district,bedrooms,apartment,bathrooms,furnished,kitchen,floor,air_condition,source
75000,مدينة الرياض,117,حي الرمال,3,شقة,3,No,Yes,1,No,aqar
50000,مدينة الرياض,104,حي القيروان,3,شقة,0,No,Yes,Unknown,No,aqar
65000,مدينة الرياض,450,حي العارض,3,شقة,0,No,Yes,Unknown,Yes,aqar
85000,مدينة الرياض,190,حي الياسمين,4,شقة,4,No,Yes,1,No,aqar
58000,مدينة جدة,160,حي الفيحاء,4,شقة,0,No,No,Unknown,No,aqar
25000,مدينة جدة,689,حيى بن سرور,5,شقة,2,No,Yes,Unknown,No,aqar
48000,مدينة الرياض,900,حي الياسمين,1,شقة,1,No,No,2,No,aqar
120000,مدينة الرياض,123,حي الملقا,4,شقة,2,Yes,No,1,Yes,aqar
35000,مدينة الرياض,70,حي الياسمين,1,شقة,1,No,Yes,2,Yes,aqar
38000,مدينة الرياض,370,حي السعادة,1,شقة,2,No,Yes,3,No,aqar
30000,مدينة الرياض,313,حي اليرموك,3,شقة,2,No,Yes,2,No,aqar
70000,مدينة الرياض,94,حي الندى,2,شقة,2,No,Yes,2,Yes,aqar
45000,مدينة الرياض,330,حي النرجس,2,شقة,1,No,Yes,3,Yes,aqar
62400,مدينة الرياض,813,حي الملقا,1,شقة,1,No,Yes,2,No,aqar
70000,مدينة الرياض,89,حي الملقا,3,شقة,3,No,Yes,2,Yes,aqar
35000,مدينة الرياض,65,حي السليمانية,1,شقة,1,No,Yes,2,Yes,aqar
27000,مدينة المدينه المنوره,90,حي العريض,2,شقة,2,No,Yes,Unknown,Yes,aqar
42000,مدينة الرياض,192,حي طويق,4,شقة,3,No,Yes,Unknown,No,aqar
35000,مدينة الرياض,150,حي ظهرة لبن,3,شقة,2,No,Yes,2,Yes,aqar
28000,مدينة الرياض,875,حي المونسية,2,شقة,0,No,Yes,Unknown,Yes,aqar
28000,مدينة جدة,563,حي مشرفة,2,شقة,2,No,Yes,3,No,aqar
60000,مدينة الرياض,851,حي السليمانية,3,شقة,2,No,Yes,2,Yes,aqar
80000,مدينة الرياض,99,حي الريان,3,شقة,0,No,Yes,Unknown,Yes,aqar
3000,مدينة الرياض,100,حي الرمال,,شقة,0,No,Yes,Unknown,No,aqar
38000,مدينة الرياض,60,حي المرسلات,1,شقة,1,No,Yes,2,Yes,aqar
1500,مدينة الدمام,400,حي الضباب,2,شقة,0,No,Yes,Unknown,Yes,aqar
119988,مدينة جدة,70,حي النهضة,3,شقة,2,Yes,Yes,4,No,aqar
29000,مدينة الخبر,875,حي الحمراء,2,شقة,3,No,Yes,3,No,aqar
45000,مدينة الدمام,159,حي السيف,4,شقة,0,No,Yes,Unknown,No,aqar
19000,مدينة الرياض,500,حي الدار البيضاء,2,شقة,1,No,Yes,1,No,aqar
50000,مدينة الرياض,405,حي العارض,3,شقة,4,No,Yes,2,Yes,aqar
50000,مدينة الرياض,90,حي المصيف,2,شقة,2,No,Yes,Unknown,Yes,aqar
55000,مدينة الرياض,600,حي النرجس,3,شقة,3,No,Yes,2,Yes,aqar
55000,مدينة الرياض,163,حي الوادي,3,شقة,3,No,Yes,2,Yes,aqar
65000,مدينة الرياض,105,حي النرجس,2,شقة,0,No,Yes,Unknown,Yes,aqar
45000,مدينة الرياض,800,حي غرناطة,1,شقة,1,No,Yes,1,No,aqar
70000,مدينة الرياض,668,حي العارض,3,شقة,2,No,Yes,3,No,aqar
30000,مدينة الرياض,150,حي القادسية,2,شقة,2,No,No,3,No,aqar
55000,مدينة الدمام,500,حي الدوحة الجنوبية,,شقة,5,No,No,3,No,aqar
62000,مدينة الرياض,1380,حي الوشام,4,شقة,2,No,Yes,2,Yes,aqar
37000,مدينة الرياض,138,حي العارض,3,شقة,2,No,Yes,2,No,aqar
37000,مدينة الرياض,140,حي المونسية,4,شقة,2,No,Yes,2,Yes,aqar
50000,مدينة الرياض,457,حي النرجس,3,شقة,2,No,Yes,1,Yes,aqar
110000,مدينة جدة,179,حي الفيحاء,3,شقة,4,No,Yes,2,No,aqar
45000,مدينة الخبر,122,حي الحمراء,3,شقة,3,No,Yes,2,Yes,aqar
45600,مدينة الرياض,100,حي إشبيلية,3,شقة,2,No,Yes,2,Yes,aqar
35000,مدينة الرياض,150,حي الحزم,3,شقة,4,No,No,2,No,aqar
0,,,,,شقة,0,No,No,Unknown,No,aqar
4500,مدينة الرياض,160,حي الوادي,1,شقة,1,No,Yes,Unknown,No,aqar
45000,مدينة الرياض,400,حي اليرموك,2,شقة,2,No,Yes,2,Yes,aqar
